,code,name,p_change,price,change,open,high,low,preprice,pe,volratio,turnover,range,volume,selling,buying,amount,totals,industry,area,floats,fvalues,abvalues,avgprice,strength,activity,avgturnover,attack,interval3,interval6
189,600859,王府井,3.15,22.95,0.7,22.19,23.43,22.03,22.25,9.8,1.9,4.73,6.29,144225.0,51645.0,92580.0,330907904.0,7.76,百货,北京,3.05,70.05,178.15,22.94,3.46,4015.0,0.0012,4.18,7.09,22.66
190,600196,复星医药,3.14,41.67,1.27,40.2,41.9,40.1,40.4,36.83,0.81,1.19,4.46,228072.0,104566.0,123506.0,943908928.0,24.95,化学制药,上海,19.1,795.82,838.06,41.39,3.46,4291.0,0.0003,3.92,2.53,8.94
191,300604,长川科技,3.14,72.2,2.2,69.0,73.61,68.61,70.0,186.44,0.87,13.49,7.14,36982.0,17933.0,19048.0,265746352.0,0.78,专用机械,浙江,0.27,19.8,56.33,71.86,3.45,2789.0,0.0048,5.23,82.88,27.52
192,300298,三诺生物,3.14,24.31,0.74,23.41,24.55,23.37,23.57,34.38,1.22,1.48,5.01,60105.0,22592.0,37512.0,145283888.0,4.71,医疗保健,湖南,4.05,98.46,114.52,24.17,3.45,2472.0,0.0006,4.02,27.28,15.82
193,300168,万达信息,3.12,20.48,0.62,19.69,20.58,19.68,19.86,1075.71,1.07,3.07,4.53,313911.0,155549.0,158361.0,634199488.0,10.31,软件服务,上海,10.23,209.61,211.17,20.2,3.43,3898.0,0.0008,4.07,48.95,58.15
194,000967,盈峰环境,3.12,8.59,0.26,8.35,8.63,8.3,8.33,27.64,1.97,1.1,3.96,81588.0,32252.0,49335.0,69729360.0,11.67,电气设备,浙江,7.44,63.92,100.24,8.55,3.43,1556.0,0.0007,3.49,10.13,-6.43
195,600723,首商股份,3.1,7.65,0.23,7.38,7.7,7.38,7.42,13.95,2.27,0.55,4.31,36511.0,20017.0,16493.0,27645684.0,6.58,百货,北京,6.58,50.34,50.37,7.57,3.42,1411.0,0.0004,3.66,-5.2,-7.5
196,300028,金亚科技,3.1,4.33,0.13,4.2,4.58,4.15,4.2,0.0,1.69,3.53,10.24,121350.0,62503.0,58846.0,52837312.0,3.44,通信设备,四川,3.44,14.89,14.89,4.35,3.41,1398.0,0.0025,4.34,8.52,-22.82
197,600828,茂业商业,3.06,6.39,0.19,6.2,6.46,6.15,6.2,9.49,2.34,1.06,5.0,67967.0,29136.0,38831.0,43077932.0,17.32,百货,四川,6.41,40.93,110.67,6.34,3.38,1949.0,0.0005,3.9,-3.47,3.23
198,603707,健友股份,3.05,30.08,0.89,29.2,30.44,28.55,29.19,34.15,0.99,4.68,6.47,38643.0,17377.0,21266.0,115166576.0,5.52,化学制药,江苏,0.83,24.83,166.17,29.8,3.37,1932.0,0.0024,5.36,46.52,54.97
199,002538,司尔特,3.05,7.78,0.23,7.59,7.83,7.54,7.55,33.81,3.05,1.18,3.84,82608.0,24350.0,58257.0,63895564.0,7.18,农药化肥,安徽,6.99,54.35,55.87,7.73,3.36,1018.0,0.0012,3.18,3.18,-13.75
200,600408,*ST安泰,3.05,2.03,0.06,1.97,2.06,1.95,1.97,13.17,0.84,0.98,5.58,98212.0,34326.0,63885.0,19774340.0,10.07,焦炭加工,山西,10.07,20.44,20.44,2.01,3.36,780.0,0.0013,4.1,-11.74,-40.29
201,600389,江山股份,3.04,19.68,0.58,19.1,19.79,19.01,19.1,17.25,1.16,1.0,4.08,29708.0,12536.0,17172.0,58146384.0,2.97,农药化肥,江苏,2.97,58.45,58.45,19.57,3.35,1370.0,0.0007,3.52,2.23,7.72
202,601008,连云港,3.03,4.42,0.13,4.26,4.43,4.25,4.29,264.19,2.28,1.88,4.2,190716.0,79590.0,111126.0,83057376.0,10.15,港口,江苏,10.15,44.87,44.87,4.36,3.35,1703.0,0.0011,4.0,0.23,-14.84
203,603986,兆易创新,3.02,173.18,5.07,166.0,176.45,164.68,168.11,98.24,0.83,3.39,7.0,49899.0,25680.0,24218.0,861008192.0,2.03,半导体,北京,1.47,255.17,351.0,172.55,3.33,3716.0,0.0009,5.16,6.17,6.17
204,600305,恒顺醋业,3.01,11.63,0.34,11.22,11.73,11.22,11.29,29.57,2.08,2.45,4.52,147517.0,60835.0,86681.0,170004512.0,6.03,食品,江苏,6.03,70.1,70.1,11.52,3.33,3067.0,0.0008,3.65,10.97,1.04
205,600521,华海药业,3.0,37.07,1.08,35.68,37.88,35.5,35.99,59.69,1.1,1.08,6.61,111187.0,48179.0,63007.0,411270464.0,10.42,化学制药,浙江,10.27,380.7,386.45,36.99,3.32,3414.0,0.0003,4.42,42.63,51.0
206,603368,柳州医药,3.0,52.53,1.53,51.01,52.6,50.8,51.0,21.46,1.4,1.38,3.53,20173.0,7374.0,12798.0,105114128.0,1.85,医药商业,广西,1.46,76.83,97.21,52.11,3.32,1857.0,0.0007,3.41,21.2,10.8
207,300122,智飞生物,2.99,44.75,1.3,43.93,44.8,42.91,43.45,68.94,0.8,1.85,4.35,160382.0,75854.0,84527.0,706197120.0,16.0,生物制药,重庆,8.69,388.95,716.0,44.03,3.3,4056.0,0.0005,4.29,56.91,46.0
208,603725,天安新材,2.99,18.94,0.55,18.4,18.98,17.95,18.39,45.23,0.77,10.51,5.6,38538.0,18907.0,19631.0,71390568.0,1.47,塑料,广东,0.37,6.95,27.78,18.52,3.31,1605.0,0.0065,5.52,6.05,-1.81
209,002269,美邦服饰,2.98,3.11,0.09,2.99,3.17,2.99,3.02,38.75,2.98,0.84,5.96,211121.0,91170.0,119950.0,65720428.0,25.13,服饰,上海,25.13,78.14,78.14,3.11,3.29,2369.0,0.0004,4.01,7.99,-5.76
210,603036,如通股份,2.96,14.61,0.42,14.19,15.18,14.1,14.19,179.92,2.54,5.63,7.61,28627.0,13376.0,15251.0,42209832.0,2.03,专用机械,江苏,0.51,7.43,29.71,14.74,3.28,1399.0,0.004,3.62,4.58,-22.94
211,600778,*ST友好,2.96,4.87,0.14,4.77,4.89,4.76,4.73,9.59,0.59,1.09,2.75,34002.0,16822.0,17180.0,16387298.0,3.11,百货,新疆,3.11,15.15,15.17,4.82,3.28,607.0,0.0018,2.31,-0.61,-22.08
212,601890,亚星锚链,2.95,5.93,0.17,5.77,5.97,5.73,5.76,0.0,0.94,1.46,4.17,139614.0,57338.0,82276.0,82067360.0,9.59,船舶,江苏,9.59,56.89,56.89,5.88,3.27,2234.0,0.0007,3.49,0.34,-12.02
213,300684,中石科技,2.94,74.12,2.12,70.99,78.01,70.64,72.0,122.04,1.26,23.55,10.24,51148.0,23949.0,27198.0,379917280.0,0.87,化工原料,北京,0.22,16.1,64.39,74.28,3.25,3433.0,0.0069,4.93,52.64,601.89
214,000848,承德露露,2.93,9.85,0.28,9.57,9.88,9.53,9.57,11.02,0.91,0.99,3.66,96974.0,30821.0,66153.0,94809448.0,9.79,软饮料,河北,9.78,96.37,96.39,9.78,3.24,3754.0,0.0003,3.36,5.12,10.8
215,603501,韦尔股份,2.93,38.7,1.1,37.0,41.17,36.7,37.6,102.85,1.66,4.78,11.89,65212.0,31525.0,33687.0,256197072.0,4.56,半导体,上海,1.37,52.85,176.4,39.29,3.24,2775.0,0.0017,5.45,26.14,6.11
216,600543,莫高股份,2.92,8.8,0.25,8.55,8.94,8.53,8.55,49.65,2.92,1.02,4.8,32888.0,12036.0,20851.0,28715430.0,3.21,红黄药酒,甘肃,3.21,28.26,28.26,8.73,3.24,780.0,0.0013,3.17,-3.4,-6.08
217,300726,宏达电子,2.92,32.1,0.91,31.45,33.77,31.4,31.19,75.75,1.18,20.0,7.6,80190.0,37921.0,42268.0,261633920.0,4.0,元器件,湖南,0.4,12.87,128.43,32.63,3.23,3313.0,0.006,2.23,30.12,-6.85
218,600325,华发股份,2.9,8.15,0.23,7.91,8.25,7.87,7.92,7.41,1.98,2.77,4.8,530363.0,250479.0,279884.0,431189728.0,21.18,区域地产,广东,19.14,156.01,172.64,8.13,3.22,3578.0,0.0008,3.56,-8.94,10.73
219,002248,华东数控,2.9,10.99,0.31,10.87,11.6,10.62,10.68,0.0,5.11,4.75,9.18,146035.0,61898.0,84136.0,162284576.0,3.07,机床制造,山东,3.07,33.79,33.79,11.11,3.21,2714.0,0.0017,3.48,23.62,106.19
220,002875,安奈儿,2.88,30.74,0.86,29.87,30.88,29.28,29.88,21.64,1.44,4.56,5.35,11407.0,4310.0,7096.0,34136688.0,1.02,服饰,深圳,0.25,7.68,31.24,29.93,3.19,601.0,0.0076,4.99,31.82,5.31
221,603179,新泉股份,2.88,25.75,0.72,25.04,26.23,25.04,25.03,19.17,1.87,2.21,4.75,20609.0,7330.0,13278.0,53108020.0,2.27,汽车配件,江苏,0.93,24.03,58.5,25.77,3.19,1528.0,0.0014,2.84,9.2,-10.68
222,603578,三星新材,2.87,29.78,0.83,28.52,30.98,28.52,28.95,37.94,2.33,5.44,8.5,17340.0,8518.0,8822.0,52007984.0,0.88,玻璃,浙江,0.32,9.5,26.21,29.99,3.18,1508.0,0.0036,4.42,5.27,-4.7
223,002860,星帅尔,2.86,24.8,0.69,23.9,24.9,23.5,24.11,29.2,1.8,5.01,5.81,23717.0,11229.0,12487.0,57753624.0,1.14,电气设备,浙江,0.47,11.74,28.26,24.35,3.17,1478.0,0.0034,5.53,2.99,-23.15
224,300387,富邦股份,2.86,17.29,0.48,16.79,17.3,16.62,16.81,29.28,1.44,1.81,4.05,22443.0,10199.0,12244.0,38125828.0,1.25,化工原料,湖北,1.24,21.4,21.6,16.99,3.17,1085.0,0.0017,4.03,12.71,-1.48
