,0
532,70.08
533,24.01
534,35.97
535,44.98
536,28.43
537,93.52
538,140.46
539,7.55
540,49.7
541,37.28
542,132.57
543,0.0
544,30.91
545,1327.95
546,56.38
547,11.26
548,57.2
549,13.19
550,14.78
551,20.94
552,0.0
553,0.0
554,307.46
555,58.86
556,75.1
557,63.44
558,131.07
559,156.06
560,0.0
561,51.56
562,161.5
563,81.12
564,37.39
565,25.73
566,48.8
567,0.0
568,116.12
569,39.69
570,0.0
571,30.34
572,203.73
573,139.54
574,36.56
575,0.0
576,3.65
577,0.0
578,79.63
579,0.0
580,62.6
581,27.41
582,21.1
583,83.48
584,9.39
585,47.0
586,0.0
587,80.21
588,148.31
589,11.45
590,44.31
591,181.65
592,83.36
593,10.42
594,39.15
595,44.04
596,129.6
597,42.61
598,94.25
599,63.81
600,8.02
601,8.3
602,17.92
603,0.0
604,41.0
605,6.27
606,20.07
607,22.87
608,15.01
609,73.32
610,51.27
611,24.77
612,0.0
613,43.68
614,325.39
615,31.38
616,55.24
617,57.57
618,93.53
619,181.29
620,0.0
621,27.62
622,38.19
623,58.97
624,291.21
625,14.1
626,32.84
627,120.26
628,71.61
629,107.19
630,0.0
631,28.67
632,63.66
633,64.05
634,0.0
635,18.64
636,487.15
637,64.39
638,10.16
639,0.0
640,28.53
641,0.0
642,82.86
643,38.91
644,43.63
645,29.84
646,25.45
647,0.0
648,52.56
649,298.88
650,28.44
651,36.21
652,0.0
653,48.09
654,0.0
655,43.39
656,98.4
657,885.6
658,11.34
659,51.46
660,17.74
661,79.41
662,47.27
663,11.9
664,19.96
665,18.83
666,8.51
667,45.71
668,22.86
669,27.43
670,61.24
671,20.48
672,16.35
673,63.11
674,9.12
675,58.67
676,22.15
677,1283.51
678,0.0
679,25.4
680,60.1
681,6.48
682,41.23
683,0.0
684,15.15
685,11.02
686,14.13
687,46.57
688,33.59
689,15.05
690,25.49
691,46.54
692,46.83
693,0.0
694,49.26
695,8.92
696,0.0
697,1011.99
698,0.0
699,10.05
700,84.35
701,3858.01
702,260.16
703,0.0
704,46.06
705,102.84
706,28.37
707,19.0
708,88.76
709,46.64
710,58.33
711,0.0
712,41.69
713,16.64
714,1170.38
715,18.55
716,59.52
717,59.14
718,24.02
719,0.0
720,22.01
721,317.1
722,21.78
723,28.79
724,0.0
725,288.79
726,22.52
727,27.16
728,139.71
729,36.47
730,0.0
731,27.64
732,25.37
733,14.25
734,0.0
735,25.1
736,26.47
737,43.81
738,105.48
739,13.88
740,61.87
