,0
0,000908
1,600354
2,000852
3,600929
4,000019
5,002848
6,000790
7,002112
8,600721
9,002012
10,000153
11,300504
12,300452
13,300723
14,000813
15,300341
16,603214
17,300727
18,603336
19,002900
20,300598
21,603080
22,300354
23,002890
24,002930
25,300653
26,300684
27,603516
28,300705
29,300624
30,603722
31,300670
32,300550
33,300363
34,002931
35,002865
36,002613
37,002438
38,000788
39,002888
40,002886
41,002864
42,603356
43,300722
44,300634
45,300696
46,603396
47,000676
48,600598
49,300637
50,603718
51,603648
52,603161
53,300414
54,300589
55,603229
56,002722
57,300526
58,002693
59,000411
60,600220
61,603985
62,601069
63,603156
64,300701
65,600359
66,603535
67,002462
68,600371
69,600809
70,002304
71,002921
72,600844
73,600391
74,603369
75,603617
76,300107
77,300194
78,300672
79,300272
80,002910
81,002041
82,002847
83,603988
84,600596
85,600988
86,300184
87,603363
88,603101
89,600058
90,603661
91,000713
92,603399
93,300731
94,002830
95,300286
96,300294
97,603605
98,300443
99,600702
100,300556
101,300673
102,002915
103,600345
104,300308
105,603500
106,600085
107,300692
108,300514
109,600315
110,600779
111,600529
112,600313
113,000061
114,603016
115,002035
116,601952
117,603656
118,603630
119,600207
120,603368
121,002480
122,600316
123,000507
124,002740
125,300706
126,600108
127,603798
128,603970
129,600409
130,300658
131,002878
132,000895
133,600887
134,300600
135,300719
136,300189
137,603611
138,002358
139,600872
140,002861
141,600095
142,601360
143,603059
144,000736
145,000858
146,002871
147,600781
148,600714
149,300628
150,603357
151,000995
152,000020
153,000816
154,000418
155,002843
156,600151
157,002190
158,300647
159,603609
160,002827
161,603871
162,000505
163,000028
164,600072
165,002204
166,000799
167,603711
168,300501
169,000581
170,000862
171,300437
172,300117
173,002432
174,300721
175,300243
176,002919
177,002589
178,002669
179,002020
180,000695
181,600975
182,603076
183,002811
184,600285
185,601890
186,002088
187,601801
188,300536
189,603079
190,002173
191,600506
192,600262
193,600559
194,002777
195,002852
196,603515
197,002321
198,300738
199,300233
200,600754
201,600114
202,002284
203,601021
204,002885
205,300629
206,300583
207,603329
208,300093
209,002237
210,600197
211,002194
212,603308
213,002499
214,002492
215,601228
216,000592
217,300505
218,603288
219,002519
220,600621
221,300726
222,300626
223,603912
224,600251
225,002490
226,300254
227,002262
228,000001
229,002808
230,603589
231,000777
232,300732
233,603838
234,000738
235,000705
236,002297
237,000886
238,603683
239,600767
240,600343
241,002288
242,300267
243,300703
244,603043
245,300702
246,603680
247,600725
248,300534
249,600691
250,002892
251,000088
252,300482
253,600420
254,600066
255,603089
256,002302
257,300645
258,603816
259,000662
260,603877
261,600127
262,600692
263,002159
264,600298
265,600622
266,300657
267,002898
268,600664
269,000636
270,002550
271,603908
272,002728
273,300509
274,600228
275,002568
276,600815
277,603729
278,603355
279,002557
280,002380
281,000822
282,600597
283,601607
284,600104
285,600200
286,300602
287,300065
288,600519
289,000528
290,002248
291,300581
292,000582
293,603685
294,603919
295,000670
296,600764
297,600438
298,603086
