,esp
527,0.384
528,0.008
529,1.44
530,-1.028
531,0.009
532,1.5
533,1.705
534,0.138
535,0.47
536,0.078
537,3.28
538,0.512
539,0.26
540,0.159
541,0.24
542,-0.51
543,-0.015
544,0.467
545,0.118
546,0.171
547,0.406
548,1.714
549,0.697
550,0.174
551,0.48
552,0.208
553,3.126
554,0.18
555,0.154
556,0.39
557,0.48
558,0.079
559,0.75
560,0.7
561,1.14
562,-0.011
563,0.039
564,0.521
565,0.64
566,0.582
567,0.65
568,0.084
569,-0.051
570,0.54
571,0.66
572,0.086
573,2.66
574,0.065
575,0.18
576,0.108
577,0.463
578,0.38
579,0.262
580,0.151
581,0.197
582,0.858
583,0.065
584,0.19
585,0.33
586,0.46
587,0.23
588,0.27
589,0.469
590,0.246
591,0.011
592,1.119
593,0.011
594,1.39
595,0.64
596,0.31
597,0.088
598,0.735
599,0.21
600,1.4
601,0.253
602,0.134
603,0.047
604,0.15
605,0.67
606,0.08
607,0.935
608,0.524
609,0.78
610,0.033
611,0.29
612,0.02
613,0.353
614,0.197
615,0.487
616,0.55
617,0.423
618,0.023
619,0.581
620,0.364
621,0.118
622,0.237
623,0.597
624,0.774
625,0.218
626,0.112
627,0.82
628,0.86
629,0.56
630,0.169
631,0.62
632,1.78
633,2.12
634,2.66
635,0.418
636,0.58
637,0.015
638,0.399
639,0.59
640,1.42
641,1.045
642,0.414
643,-0.058
644,0.41
645,0.356
646,0.121
647,0.246
648,1.831
649,0.308
650,-1.095
651,0.118
652,0.419
653,2.471
654,-0.45
655,0.63
656,0.345
657,-0.149
658,0.183
659,0.004
660,0.74
661,0.033
662,0.328
663,1.3
664,0.153
665,0.162
666,1.102
667,0.22
668,-0.103
669,0.002
670,0.597
671,0.46
672,-0.012
673,1.726
674,0.313
675,0.9
676,0.323
677,-0.21
678,0.14
679,0.459
680,0.417
681,0.274
682,0.06
683,0.62
684,1.776
685,0.009
686,0.081
687,0.089
688,0.209
689,0.603
690,0.282
691,0.13
692,0.556
693,0.759
694,0.422
695,0.233
696,0.957
697,0.219
698,0.7
699,0.359
700,0.482
701,0.077
702,0.113
703,0.98
704,8.09
705,0.27
706,0.067
707,0.882
708,0.737
709,0.525
710,0.168
711,1.051
712,0.897
713,0.055
714,0.054
715,0.724
716,0.03
717,0.35
718,0.373
719,0.037
720,-0.014
721,0.19
722,0.649
723,0.06
724,0.043
725,0.005
726,0.267
727,0.678
728,-0.305
729,0.11
730,0.4
731,1.255
732,0.235
733,2.615
734,0.103
735,0.012
736,0.493
737,0.85
738,0.551
739,2.275
740,0.52
741,0.019
742,0.4
743,0.478
744,1.04
745,-0.018
746,0.094
747,0.501
748,-0.213
749,0.16
750,0.47
751,0.147
752,0.328
753,0.015
754,0.119
755,0.188
756,0.973
757,0.032
758,-0.455
759,1.22
760,0.439
761,1.46
762,0.488
763,0.21
764,0.153
765,0.073
766,1.149
767,0.03
768,0.226
769,0.1
770,-0.106
771,1.496
772,0.116
773,6.46
774,0.214
775,0.077
776,0.312
777,-0.045
778,0.012
779,0.634
780,0.303
781,0.044
782,0.07
783,-0.066
784,0.17
785,0.033
786,0.448
787,0.498
788,1.31
789,0.63
790,-0.15
791,0.305
792,0.457
793,0.5
794,0.162
795,0.195
796,0.149
797,0.039
798,-0.097
799,0.196
800,1.53
801,0.032
802,0.77
803,1.28
804,0.685
805,-0.03
806,0.88
807,0.207
808,0.44
809,0.084
810,0.271
811,0.13
812,0.76
813,0.25
814,-0.002
815,0.184
816,0.032
817,0.166
818,1.316
819,0.08
820,0.288
821,0.031
822,-0.049
823,0.38
824,0.07
825,1.01
826,0.068
827,0.6
828,0.228
829,-0.028
830,0.415
831,0.031
832,0.264
833,0.084
834,0.029
835,0.118
836,-0.31
837,0.42
838,0.2
839,0.161
840,0.137
841,0.267
842,0.054
843,-0.138
844,0.437
845,0.071
846,0.207
847,-0.165
848,0.201
849,0.059
850,0.538
851,0.285
852,0.217
853,0.4
854,0.452
855,0.96
856,0.152
857,2.1
858,0.39
859,0.341
860,2.84
861,1.02
862,0.045
863,0.021
864,0.04
865,0.656
866,0.39
867,0.055
868,0.376
869,0.068
870,1.27
871,0.15
872,0.062
873,0.92
874,-0.08
875,1.268
876,0.559
877,0.83
878,0.015
879,-0.262
880,1.0
881,0.192
882,0.126
883,0.364
884,0.27
885,0.285
886,0.469
887,-0.202
888,0.32
889,0.405
890,0.435
891,0.23
892,0.082
893,0.206
894,0.775
895,-0.049
896,0.166
897,0.226
898,0.132
899,0.012
900,0.95
901,0.053
902,0.085
903,0.015
904,0.767
905,0.099
906,-0.074
907,0.45
908,0.066
909,0.369
910,0.528
911,0.11
912,0.128
913,0.59
914,0.78
915,0.462
916,0.008
917,0.064
918,0.966
919,0.043
920,0.073
921,0.843
922,0.471
923,-0.987
924,0.06
925,0.118
926,1.66
927,0.025
928,0.109
929,0.22
930,0.81
931,0.063
932,0.31
933,0.012
934,0.141
935,1.197
936,0.13
937,0.307
938,0.57
939,0.37
940,0.324
941,-0.015
942,0.85
943,0.568
944,1.045
945,0.287
946,-0.145
947,0.198
948,2.71
949,0.71
950,0.133
951,0.154
952,0.28
953,0.22
954,1.173
955,0.16
956,-0.017
957,0.87
958,0.17
959,0.176
960,0.35
961,0.26
962,0.603
963,0.141
964,0.84
965,0.313
966,0.43
967,-0.03
968,0.16
969,0.033
970,0.024
971,0.109
972,0.08
973,0.296
974,0.089
975,0.465
976,0.649
977,-0.056
978,0.232
979,0.194
980,0.373
981,0.268
982,-0.075
983,0.59
984,0.14
985,0.009
986,0.76
987,0.77
988,0.441
989,0.134
990,0.325
991,0.176
992,0.778
993,1.388
994,0.759
995,0.274
996,0.212
997,0.38
998,1.265
999,0.67
1000,0.575
1001,0.139
1002,0.618
1003,0.5
1004,-0.021
1005,0.083
1006,0.102
1007,0.055
1008,0.364
1009,0.086
1010,0.697
1011,0.28
1012,0.389
1013,0.242
1014,0.376
1015,0.158
1016,0.171
1017,0.049
1018,0.207
1019,0.14
1020,0.226
1021,0.92
1022,0.19
1023,0.762
1024,0.507
