code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002672,东江环保,环境保护,广东,28.43,5.6,8.88,924014.81,303640.88,164954.09,50582.73,0.57,0.55,4.2,3.61,20120426,225064.55,2.53,18.44,-11.32,35.88,15.27,42048.0
603022,新通联,广告包装,上海,77.42,0.65,2.0,72199.21,42953.76,18819.28,13474.82,0.67,0.104,2.99,3.59,20150518,24547.81,1.23,20.35,-28.69,20.54,4.86,21341.0
300349,金卡智能,电器仪表,浙江,29.12,1.87,2.39,402878.81,218568.55,26172.53,196374.25,8.23,1.48,12.66,3.36,20120817,77059.59,3.23,97.55,297.38,48.68,20.63,9802.0
000430,张家界,旅游景点,湖南,49.82,2.58,4.05,233621.09,24842.0,60699.38,85254.4,2.11,0.19,3.84,2.16,19960829,24883.34,0.61,-7.18,10.15,31.03,12.26,25000.0
000717,韶钢松山,普钢,广东,5.62,24.2,24.2,1441538.0,440514.44,801547.88,322779.41,1.33,1.04,1.23,4.76,19970508,-331470.38,-1.37,86.35,2381.13,13.26,9.66,126047.0
600029,南方航空,空运,广东,17.42,70.23,100.88,21832900.0,1788400.0,15825501.0,1511500.0,1.5,0.6,4.92,2.08,20030725,2166400.0,2.15,11.05,16.97,12.39,4.64,180900.0
002298,中电鑫龙,软件服务,安徽,37.35,4.68,7.04,582196.13,338181.75,70219.28,290271.03,4.12,0.166,6.03,1.37,20090929,59343.93,0.84,11.51,12.83,30.42,9.44,50469.0
000544,中原环保,环境保护,河南,28.4,3.48,6.5,676088.31,173058.95,294341.28,419318.31,6.45,0.496,8.42,1.67,19931208,54193.73,0.83,4.22,8.35,38.07,33.02,27930.0
002802,洪汇新材,化工原料,江苏,38.38,0.37,1.08,62698.23,41337.73,13927.26,24117.25,2.23,0.503,5.58,4.61,20160629,21880.64,2.02,24.22,38.29,29.82,19.54,14717.0
300285,国瓷材料,陶瓷,山东,51.49,4.11,5.98,315695.13,149880.38,68733.06,67596.25,1.13,0.29,3.06,6.5,20120113,50582.92,0.85,100.57,86.65,39.73,19.29,11451.0
600240,华业资本,全国地产,北京,9.7,14.24,14.24,1933030.38,666459.56,19869.02,28096.43,0.2,0.637,4.51,1.83,20000628,465492.19,3.27,-9.27,4.62,54.47,27.25,34453.0
300012,华测检测,电器仪表,深圳,59.88,14.75,16.58,337461.06,171366.47,77158.63,3965.45,0.02,0.061,1.48,3.27,20091030,68008.11,0.41,32.42,33.24,46.19,7.11,36756.0
600381,青海春天,医疗保健,青海,27.8,2.12,6.31,235284.45,172794.09,10291.21,19072.07,0.3,0.28,3.47,3.2,20010508,126073.25,2.0,-14.46,114.37,44.54,51.59,46137.0
300242,明家联合,互联网,广东,22.28,5.08,6.36,275888.38,110361.05,705.14,125555.77,1.97,0.303,3.62,1.87,20110712,42080.75,0.66,-4.17,5.97,13.43,7.13,27755.0
002171,楚江新材,铜,安徽,20.6,10.28,10.69,453294.09,328310.97,60185.51,159394.06,1.49,0.246,3.12,2.17,20070921,62893.96,0.59,38.38,81.44,6.11,3.36,44223.0
002392,北京利尔,其他建材,北京,31.85,7.34,11.9,530148.69,406283.13,39048.14,100115.38,0.84,0.136,2.64,1.65,20100423,87211.42,0.73,21.17,9.97,35.64,7.12,94854.0
600683,京投发展,区域地产,浙江,13.31,7.41,7.41,2786347.25,2287926.0,4953.56,32778.12,0.44,0.434,3.17,1.82,19931025,117437.2,1.59,4.99,10.77,35.65,5.17,26304.0
300018,中元股份,电气设备,湖北,30.46,3.46,4.87,174088.7,102429.03,5441.27,63085.65,1.3,0.205,3.08,2.03,20091030,37721.76,0.77,12.54,-6.26,58.55,24.77,25020.0
300486,东杰智能,专用机械,山西,59.93,0.84,1.4,101935.92,56752.13,16588.31,30867.0,2.2,0.235,4.67,4.02,20150630,21157.32,1.51,322.67,164.97,23.73,7.58,20438.0
600995,文山电力,水力发电,云南,24.98,4.79,4.79,264479.16,37367.67,197039.02,15560.57,0.33,0.327,3.56,2.3,20040615,89165.05,1.86,10.8,-1.68,26.24,7.7,51103.0
300264,佳创视讯,通信设备,深圳,0.0,3.18,4.13,84254.93,50237.01,1669.61,9648.55,0.23,-0.059,1.32,4.73,20110916,5780.12,0.14,16.29,-81.8,30.3,-18.02,22215.0
002535,林州重机,工程机械,河南,98.76,5.36,8.02,772257.19,457543.16,165435.8,178543.8,2.23,0.044,3.64,1.19,20110111,24259.27,0.3,13.85,985.53,18.42,2.12,56260.0
